STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0023,002,Y,AK0023-002,BOOKMOBILE,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,-4,N_20,1,1718,R_20,37,R_20,2021,08,00,00,00,-147.7384145,64.8387296,02,090,24230,95651,13,1,2027,0200,21820,0,E,100,POINTADDRESS,15,0
AK,AK0023,003,Y,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,18410,R_20,0,1838,R_20,37,R_20,2021,08,00,00,00,-147.36566,64.74791,02,090,55910,95651,23,16,2042,0200,21820,0,E,93,POI,15,3
AK,AK0023,004,Y,AK0023-004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,70456,R_20,0,2613,R_20,37,R_20,2021,08,00,00,00,-147.7384145,64.8387296,02,090,24230,95651,13,1,2027,0200,21820,0,E,100,POINTADDRESS,12,3
AK,AK0025,002,Y,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,1500,R_20,0,750,R_20,50,R_20,2021,08,00,00,00,-156.8815216,64.74950175,02,290,27530,5077,43,3,2017,0200,-4,N,E,97.31,STREETNAME,2,20
AK,AK0027,002,N,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,2000,R_20,0,1248,R_20,37,R_20,2021,08,00,00,00,-145.56129,62.10949001,02,066,28740,2919,43,1,1228,0200,-4,N,E,100,DISTANCEMARKER,15,0
AK,AK0028,002,Y,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,3052,R_20,0,1300,R_20,37,R_20,2021,08,00,00,00,-135.7116901,58.41854218,02,105,30940,2141,43,4,3146,0200,-4,N,E,87.5,STREETNAME,15,0
AK,AK0029,002,Y,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,8400,R_20,0,2400,R_20,40,R_20,2021,08,00,00,00,-135.4477853,59.23422089,02,100,31050,2614,43,1,3009,0200,-4,N,E,100,STREETADDRESS,12,1
AK,AK0030,002,Y,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,4560,R_20,0,710,R_20,40,R_20,2021,08,00,00,00,-149.0181333,63.87341829,02,068,32150,2081,43,1,2178,0200,-4,N,E,98.34,STREETADDRESS,10,0
AK,AK0031,002,N,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,2300,R_20,0,903,R_20,42,R_20,2021,08,00,00,00,-132.6490406,55.48222945,02,198,32810,6147,43,1,3460,0200,-4,N,E,77,POSTAL,6,3
AK,AK0032,002,Y,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,17000,R_20,0,2704,R_20,52,R_20,2021,08,00,00,00,-151.531634,59.64354508,02,122,33140,59414,43,10,3006,0200,-4,N,E,100,POINTADDRESS,0,-1
AK,AK0033,002,N,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,2304,R_20,0,867,R_20,45,R_20,2021,08,00,00,00,-149.6412992,60.91871116,02,122,33580,59414,42,3,1050,0200,-4,N,E,100,STREETADDRESS,7,0
AK,AK0035,002,Y,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,8000,R_20,0,1904,R_20,42,R_20,2021,08,00,00,00,-134.3952571,58.27685339,02,110,36400,31849,33,6,2031,0200,27940,1,E,100,POINTADDRESS,10,5
AK,AK0035,003,Y,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,M,JUNEAU,9077890125,BR,20000,R_20,0,3104,R_20,42,R_20,2021,08,00,00,00,-134.5892619,58.37779826,02,110,36400,31849,33,2,4007,0200,27940,1,E,86,POSTAL,10,5
AK,AK0035,004,Y,AK0035-004,DOWNTOWN PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,M,JUNEAU,9075865249,CE,17000,R_20,0,2492,R_20,42,R_20,2021,08,00,00,00,-134.4045093,58.2985496,02,110,36400,31849,33,5,2006,0200,27940,1,E,100,STREETADDRESS,10,5
AK,AK0037,002,Y,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,9626,KENAI PENINSULA,9072525886,CE,2553,R_20,0,480,R_20,36,R_20,2021,08,00,00,00,-151.26127,60.308007,02,122,16420,59414,43,7.01,3071,0200,-4,N,E,100,POINTADDRESS,12,0
AK,AK0038,002,Y,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,20000,R_20,0,2330,R_20,41,R_20,2021,08,00,00,00,-151.2486134,60.55973412,02,122,38420,59414,33,6,5033,0200,-4,N,E,100,POINTADDRESS,11,4
AK,AK0039,002,Y,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,16726,R_20,0,3016,R_20,52,R_20,2021,08,00,00,00,-131.6513884,55.34923151,02,130,38970,13747,33,3,1000,0200,28540,1,E,100,POINTADDRESS,0,0
AK,AK0040,002,Y,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,16000,R_20,0,1440,R_20,40,R_20,2021,08,00,00,00,-152.397723,57.79261915,02,150,40950,12992,33,3,2009,0200,-4,N,E,100,POINTADDRESS,12,2
AK,AK0041,002,Y,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,1700,R_20,0,2010,R_20,36,R_20,2021,08,00,00,00,-162.5873743,66.89934034,02,188,41830,7644,33,2,1009,0200,-4,N,E,98.34,STREETADDRESS,15,0
AK,AK0044,002,Y,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,2536,R_20,0,700,R_20,40,R_20,2021,08,00,00,00,-155.5889643,62.94993871,02,290,46010,5077,43,4,1288,0200,-4,N,E,97.08,STREETNAME,12,-1
AK,AK0046,002,Y,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,990,R_20,0,720,R_20,36,R_20,2021,08,00,00,00,-131.5751999,55.12846006,02,198,48870,6147,M,9401,2010,0200,-4,N,E,96.49,STREETINT,16,0
AK,AK0047,003,Y,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,840,R_20,0,768,R_20,32,R_20,2021,08,00,00,00,-157.0072593,58.73059453,02,060,52060,788,43,1,1003,0200,-4,N,E,96.05,STREETNAME,20,16
AK,AK0047,004,Y,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,1456,R_20,0,1280,R_20,32,R_20,2021,08,00,00,00,-157.0169374,58.7274076,02,060,52060,788,43,1,1066,0200,-4,N,E,93.86,STREETNAME,20,0
AK,AK0048,002,Y,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,2421,R_20,0,720,R_20,46,R_20,2021,08,00,00,15,-149.0956459,64.56236274,02,290,53050,5077,43,2,2188,0200,-4,N,E,99.04,STREETADDRESS,6,4
AK,AK0051,002,Y,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,9712,KENAI PENINSULA,9075673333,CE,3200,R_20,0,780,R_20,42,R_20,2021,08,00,00,00,-151.6747847,60.04219594,02,122,54480,59414,43,8,1043,0200,-4,N,E,100,POINTADDRESS,10,6
AK,AK0052,002,Y,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,M,NOME,9074436628,CE,3086,R_20,0,1440,R_20,36,R_20,2021,08,00,00,00,-165.3981394,64.50265938,02,180,54920,9909,33,2,3001,0200,-4,N,E,86,POSTAL,16,0
AK,AK0055,002,Y,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,11922,R_20,0,2288,R_20,52,R_20,2021,08,00,00,00,-149.1129256,61.60001145,02,170,58660,110213,32,12.01,2006,0200,11260,0,E,100,POINTADDRESS,0,0
AK,AK0056,002,Y,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,1200,R_20,0,180,R_20,46,R_20,2021,08,00,00,00,-136.2315449,57.96035082,02,105,59650,2141,43,4,3281,0200,-4,N,E,96.67,STREETADDRESS,6,0
AK,AK0057,002,Y,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,9700,R_20,0,1236,R_20,40,R_20,2021,08,00,00,00,-132.9550539,56.81096312,02,195,60310,3296,M,2,2021,0200,-4,N,E,96.92,STREETADDRESS,12,4
AK,AK0058,002,Y,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074548185,CE,1360,R_20,0,570,R_20,38,R_20,2021,08,00,00,00,-152.8837465,57.86638392,02,150,63610,12992,43,1,2283,0200,-4,N,E,100,POINTADDRESS,14,0
AK,AK0061,002,Y,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463321,CE,1280,R_20,0,-1,M_20,-1,M_20,2021,08,25,00,00,-170.2796199,57.12078366,02,016,66470,5680,43,1,1403,0200,-4,N,E,97.57,STREETNAME,-1,-1
AK,AK0064,002,Y,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,2791,R_20,0,571,R_20,41,R_20,2021,08,00,00,00,-151.7146025,59.43872262,02,122,68340,59414,43,12,1247,0200,-4,N,E,100,STREETADDRESS,11,4
AK,AK0065,002,Y,AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,22542,R_20,0,2517,R_20,52,R_20,2021,08,00,00,00,-149.4372455,60.10250876,02,122,68560,59414,43,13,2016,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0067,002,Y,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,9920,R_20,0,2750,R_20,50,R_20,2021,08,00,00,00,-135.3339472,57.04975726,02,220,70540,8405,M,2,4016,0200,-4,N,E,100,POINTADDRESS,2,13
AK,AK0068,002,Y,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,5014,R_20,0,1799,R_20,41,R_20,2021,08,00,00,00,-135.3138967,59.45760188,02,230,70760,1179,43,1,1089,0200,-4,N,E,98.54,STREETADDRESS,11,4
AK,AK0069,002,Y,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,21054,R_20,0,2090,R_20,40,R_20,2021,08,00,00,00,-151.0723854,60.4923396,02,122,71640,59414,33,5,5027,0200,-4,N,E,100,POINTADDRESS,12,3
AK,AK0070,002,Y,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,6258,R_20,0,1736,R_20,43,R_20,2021,08,00,00,00,-148.8774072,61.7110252,02,170,74525,110213,42,2,1001,0200,11260,0,E,100,STREETADDRESS,9,6
AK,AK0071,001,Y,AK0071-002,TAKOTNA COMMUNITY/SCHOOL LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,M,YUKON-KOYUKUK,9072982229,CE,360,R_20,0,280,R_20,28,R_20,2021,08,24,00,00,-156.0649294,62.98819239,02,290,74610,5077,43,4,1109,0200,-4,N,E,97.9,STREETNAME,20,4
AK,AK0072,002,Y,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,CE,7840,R_20,0,-1,M_20,42,R_20,2021,08,00,00,00,-150.0840522,62.29895717,02,170,74830,110213,43,1.02,1000,0200,11260,0,E,100,STREETADDRESS,10,6
AK,AK0073,002,Y,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,848,R_20,0,-1,M_20,-1,M_20,2021,08,25,00,00,-152.0816283,65.17054645,02,290,75160,5077,43,2,1302,0200,-4,N,E,98.16,STREETNAME,-1,-1
AK,AK0074,002,Y,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,896,R_20,0,406,R_20,36,R_20,2021,08,00,00,00,-135.2348273,57.78394498,02,105,76260,2141,43,4,2211,0200,-4,N,E,94.6,STREETADDRESSEXT,14,0
AK,AK0075,002,N,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,1019,R_20,0,1056,R_20,44,R_20,2021,08,00,00,00,-142.98035,63.33542998,02,240,77800,6957,43,1,2043,0200,-4,N,E,97.56,DISTANCEMARKER,8,7
AK,AK0077,002,Y,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,15000,R_20,0,2860,R_20,52,R_20,2021,08,00,00,00,-146.3544579,61.12986275,02,063,82200,6427,43,3,1023,0200,-4,N,E,100,STREETADDRESS,0,0
AK,AK0078,002,Y,AK0078-002,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,7189,MATANUSKA-SUSITNA,9073765913,CE,24400,R_20,0,1640,R_20,41,R_20,2021,08,00,00,00,-149.4296874,61.58385999,02,170,83080,110213,32,8,3024,0200,11260,0,E,100,POINTADDRESS,11,1
AK,AK0080,002,Y,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,4111,R_20,0,1978,R_20,43,R_20,2021,08,00,00,00,-150.051764,61.74509562,02,170,85280,110213,43,4.02,2032,0200,11260,0,E,86,POSTAL,9,-1
AK,AK0081,002,Y,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,5930,R_20,0,1654,R_20,41,R_20,2021,08,00,00,00,-132.386882,56.47318142,02,275,86380,2510,M,3,2027,0200,-4,N,E,100,STREETADDRESS,11,4
AK,AK0082,002,Y,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,-3,CE,-3,U_20,-3,-3,U_20,-3,U_20,2021,08,03,00,00,-161.2189952,60.91116104,02,050,00870,18437,43,1,3147,0200,-4,N,E,87.77,STREETADDRESS,-3,-3
AK,AK0085,004,N,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,1440,R_20,0,585,R_20,39,R_20,2021,08,00,00,00,-145.0076808,61.72735009,02,066,38910,2919,43,1,2045,0200,-4,N,E,95.47,STREETNAME,13,13
AK,AK0094,003,Y,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,2225,R_20,0,380,R_20,38,R_20,2021,08,00,00,00,-160.0329162,70.63714387,02,185,82750,9294,43,2,2182,0200,-4,N,E,98.9,STREETADDRESSEXT,14,0
AK,AK0094,004,Y,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,2849,R_20,0,327,R_20,38,R_20,2021,08,00,00,00,-166.731772,68.34938527,02,185,61630,9294,43,2,1075,0200,-4,N,E,96.74,STREETNAME,0,0
AK,AK0094,005,Y,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,1230,R_20,0,380,R_20,38,R_20,2021,08,00,00,00,-151.7387799,68.14036007,02,185,02080,9294,43,2,3291,0200,-4,N,E,98.34,STREETADDRESS,14,0
AK,AK0094,006,Y,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,800,R_20,0,378,R_20,38,R_20,2021,08,00,00,00,-157.4193599,70.48066056,02,185,04500,9294,43,2,2148,0200,-4,N,E,100,STREETADDRESS,14,0
AK,AK0094,007,Y,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,2880,R_20,0,316,R_20,32,R_20,2021,08,00,00,00,-143.6214731,70.13033898,02,185,M,9294,43,2,3008,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0094,008,Y,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310 3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,1305,R_20,0,353,R_20,36,R_20,2021,08,00,00,15,-150.9988117,70.21856887,02,185,56320,9294,43,2,3347,0200,-4,N,E,96.22,STREETNAME,14,0
AK,AK0094,009,Y,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,888,R_20,0,380,R_20,38,R_20,2021,08,00,00,00,-163.0113935,69.74186961,02,185,61700,9294,43,2,1001,0200,-4,N,E,96.89,STREETNAME,14,0
AK,AK0094,010,Y,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,11500,R_20,0,2652,R_20,38,R_20,2021,08,00,00,00,-156.7546645,71.29815869,02,185,81920,9294,41,1,1069,0200,-4,N,T,96.67,STREETNAME,14,9
AK,AK0095,002,Y,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,M,BETHEL,-3,CE,-3,U_20,-3,-3,U_20,-3,U_20,2021,08,03,00,00,-161.4425951,60.91065278,02,050,00760,18437,43,1,3034,0200,-4,N,E,98.9,POSTAL,-3,-3
