,ADDNTL_FUEL_MODEL_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,APPROVED_BY,APPROVED_DATE,AREA_CLOSURE_FLAG,CAUSE_IDENTIFIER,COMPLEXITY_LEVEL_IDENTIFIER,COMPLEXITY_LEVEL_NARR,CREATED_BY,CREATED_DATE,CRIT_RES_NEEDS_12,CRIT_RES_NEEDS_24,CRIT_RES_NEEDS_48,CRIT_RES_NEEDS_72,CRIT_RES_NEEDS_GT72,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CURR_INCIDENT_AREA,CURR_INC_AREA_UOM_IDENTIFIER,CY,DATA_ENTRY_STATUS,DISCOVERY_DATE,DISPATCH_PRIORITY,DONWCGU_PROT_UNIT_IDENTIFIER,EST_IM_COST_TO_DATE,EXPECTED_CONTAINMENT_DATE,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER,FUEL_MODEL_IDENTIFIER,GACC_PRIORITY,GEN_FIRE_BEHAVIOR_IDENTIFIER,HAZARDS_MATLS_INVOLVMENT_NARR,ID,INC209R_IDENTIFIER,INCIDENT_COMMANDERS_NARR,INCIDENT_DESCRIPTION,INCIDENT_JURISDICTION,INCIDENT_NAME,INCIDENT_NUMBER,INCTYP_IDENTIFIER,INC_IDENTIFIER,INC_MGMT_ORG_IDENTIFIER,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,LIFE_SAFETY_HEALTH_STATUS_NARR,LOCAL_TIMEZONE_IDENTIFIER,MANAGEMENT_CODE,PCT_CONTAINED_COMPLETED,PCT_CONT_COMPL_UOM_IDENTIFIER,PCT_PERIM_TO_BE_CONTAINED,PLANNED_ACTIONS,POO_CITY,POO_COUNTY_CODE,POO_DONWCGU_OWN_IDENTIFIER,POO_LATITUDE,POO_LD_PM_IDENTIFIER,POO_LD_QTR_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_SEC,POO_LD_QTR_SEC,POO_LD_RGE,POO_LD_SEC,POO_LD_TWP,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE_CODE,POO_US_NGR_XCOORD,POO_US_NGR_YCOORD,POO_US_NGR_ZONE,POO_UTM_EASTING,POO_UTM_NORTHING,POO_UTM_ZONE,PREPARED_BY,PREPARED_DATE,PROJECTED_ACTIVITY_12,PROJECTED_ACTIVITY_24,PROJECTED_ACTIVITY_48,PROJECTED_ACTIVITY_72,PROJECTED_ACTIVITY_GT72,PROJECTED_FINAL_IM_COST,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,PROJ_SIG_RES_DEMOB_START_DATE,REMARKS,REPORT_FROM_DATE,REPORT_NUMBER,REPORT_TO_DATE,ROAD_CLOSURE_FLAG,SECNDRY_FUEL_MODEL_IDENTIFIER,SIGNIF_EVENTS_SUMMARY,SINGLE_COMPLEX_FLAG,STATUS,STRATEGIC_DISCUSSION,STRATEGIC_OBJECTIVES,SUBMITTED_DATE,SUBMITTED_TO,TRAIL_CLOSURE_FLAG,UNIFIED_COMMAND_FLAG,UNIT_OR_OTHER_NARR,WEATHER_CONCERNS_NARR
6288,,03/15/2014 14:00:00,Rick Napoles,,N,1536120.0,,low,jill,05/14/2014 17:49:53,None,NONE,NONE,NONE,NONE,None,None,None,None,,3.0,1536109.0,2015.0,D,03/05/2014 10:00:00,,1525765,45808.0,,,,,1535982.0,,,Suppression stratgy is confinement.,104.0,2714794,Todd McDivitt  CA-INF   3/27/2014 KURT ALLENDORF  CA-INF  4/23/14 Rick Napoles (Div4)CA-INF,,,Blackrock,210,1536179.0,2714793,1536138.0,SIT209,05/14/2014 19:11:10,,,P5H2CQ,100.0,,0.0,None,big pine,27.0,1525765.0,36.9006667,1536080.0,,,SE,,33e,14.0,12s,-118.31766670000002,"Sawmill Cyn,South of Spook Cyn,North of Sawmill Meadow. North aspect of hogback",6.0,,,,,,,Jill K. Erhard-Moore,05/14/2014 19:00:00,fire is declared out,,,,,45808.0,3.0,1536109.0,, This fire is declared out by the line officer on 4/29/14 @1200.  The fire is still under investigation.  The ignition date changed to 3/5/14. this is based on wilderness use permits that were issued for the area and observed fire behavior.,05/08/2014 20:00:00,,2014-05-14 19:00:00,N,,Observed fire behavior- no visable fire behavior  no smoke showing  no activity.,S,F,None,Suppression by confinement.,,OVICC,N,N,,None
6304,,,EOR Duty Officer,02/12/2015 17:16:03,N,1536117.0,,,Eoroscosr,02/12/2015 17:14:20,,,,,,None,,,,,102.0,1536109.0,2015.0,A,02/08/2015 14:30:00,,1525558,1000.0,,,,,1535989.0,,,,120.0,2714880,Morris,,,LOW GAP,015030,1536179.0,2714879,1536138.0,SIT209,02/12/2015 17:16:03,,,JH83,100.0,,0.0,,,135.0,1525558.0,35.6191667,,,,,,,,,-94.6136111,"3.3 Miles NE of Stoney Point, OK",40.0,,,,,,,Orosco - BIA/AOICC,02/12/2015 17:00:00,None,,,,,,,,,,02/08/2015 14:30:00,,2015-02-11 17:00:00,N,,No Information provided.,S,F,,,02/12/2015 17:16:03,SACC,N,N,,
6372,,,JOHN KIRKSEY,08/11/2015 16:31:15,N,1536117.0,1535968.0,,Bogart,07/15/2015 12:49:05,,,,,,No current threats.  Fire is lined and burned out and will continue to be monitored.  Weather forecast is favorable.,,,,,189.0,1536109.0,2015.0,A,03/14/2014 17:00:00,,1526114,1000.0,,,,,1535990.0,,1536370.0,,188.0,2715191,Doug Lynn,,,Copper Hollow Road,ETD0005,1536179.0,2715190,,SIT209,08/11/2015 16:31:15,,1536268.0,,100.0,,100.0,,"Tellico Plains, TN",123.0,1527355.0,35.24388889999999,,,,,,,,,-84.2908333,1 mile off Highway 68 down the Old Copper Hollow Road,47.0,,,,,,,CHARLES VIA,04/16/2014 8:00:00,Fire has been burned out.  A few hot spots remain in stumps and brush piles. Potential to move outside lines is low.  Weather forecast is favorable.,,,,,,,,,,03/14/2014 17:00:00,,2014-03-15 18:45:00,N,,Fuel Model: Hardwood Litter,S,F,,,08/11/2015 16:31:15,TN-TNS,N,N,,
6413,,,,,N,1536120.0,,Complex,ajohansson,05/23/2014 12:39:12,,,,,,,,,,,3000.0,1536109.0,2015.0,D,05/23/2014 3:00:00,,1525583,,,,,,,,,,229.0,2716863,Johansson,,,Test - Complex,000001,1536179.0,2716862,1536139.0,ajohansson,05/23/2014 12:39:12,,,,0.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/23/2014 7:00:00,,2014-05-23 09:00:00,N,,,C,I,,,,,N,N,,
6792,,07/01/2015 12:00:00,Don Fortier,07/01/2015 6:47:50,N,1536120.0,1535969.0,,wslo225,07/01/2015 6:40:27,4 engine strike teams  overhead,,,,,20 residences  standing agricultural crops,,,,,2100.0,1536109.0,2015.0,A,07/01/2015 0:45:00,,1526224,25000.0,,,,,1535985.0,,1536368.0,,608.0,2722849,Don Fortier  Grant County FD3,,,Monument FIre,000601,1536179.0,2722848,1536138.0,SIT209,07/01/2015 6:47:50,,1536273.0,,20.0,,100.0,,Quincy,25.0,1526224.0,47.283055600000004,1536107.0,,,,SE,24e,26.0,21n,-119.75388889999999,"6 miles north of Quincy, WA",53.0,,,,,,,Bill Slosson,07/01/2015 6:45:00,continue perimeter control,patrol and mopup,,,,200000.0,3500.0,1536109.0,07/01/2015 12:00:00,,07/01/2015 1:45:00,,2015-07-01 11:00:00,Y,1535983.0,,S,I,limited local resources,100% containtment,07/01/2015 6:47:50,NWCC,N,N,,Wind and low RH
6793,,07/01/2015 12:00:00,D. Fortier,08/06/2015 18:59:16,N,1536120.0,1535969.0,,wslo225,08/06/2015 18:58:51,,,,,,None.,,,,,2100.0,1536109.0,2015.0,A,07/01/2015 0:45:00,,1526224,200000.0,,,,,1535985.0,,1536370.0,,609.0,2722860,Don Fortier  Grant County FD3,,,Monument FIre,000601,1536179.0,2722848,1536138.0,SIT209,08/06/2015 18:59:16,,1536273.0,,100.0,,100.0,,Quincy,25.0,1526224.0,47.283055600000004,1536107.0,,,,SE,24e,26.0,21n,-119.75388889999999,"6 miles north of Quincy, WA",53.0,,,,,,,Bill Slosson,08/06/2015 19:00:00,Contained and controlled. ,,,,,200000.0,3500.0,1536109.0,07/01/2015 12:00:00,Final report. ,07/31/2015 19:00:00,,2015-08-06 19:00:00,N,,,S,F,,,08/06/2015 18:59:16,OR-NWC,N,N,,
7272,,11/20/2014 12:00:00,b. garinger,03/09/2015 19:29:57,N,1536120.0,,,tapina01,11/18/2014 12:14:48,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,1536112.0,2015.0,A,11/18/2014 5:45:00,,1526195,1.0,,,,,,,,HAZARDOUS CHEMICALS,1088.0,2735923,Ventura County Fire IC Chief Ortega,EXPLOSION W HAZMAT RELEASE,VNC,MISSION,14-0075269,1536186.0,2735922,,SIT209,06/03/2015 16:47:25,,1536273.0,,2.0,,0.0,,,111.0,1526195.0,34.3225,1536095.0,,,SE,SW,21W,20.0,3N,-119.10333329999999,SOUTH OF 126 WEST OF SANTA PAULA CITY,6.0,,,,306398.0,3799921.0,11.0,D. Zinskey,03/09/2015 20:00:00,12 hour prediction potential of 200-300 residences 500+ persons. Adverse impacts to 3 area hospitals with contaminated patients and response personnel. Equipment being positioned to handle increased medical potential. Cal Fire mobilization maintained for ,Large populous evacuation. Contaminated plume identification. Potential for declared local emergency. Continued backtrack of product related to incident. Per the DC,Continued monitoring of injured citizens and responders. Per the DC,Unknown,Unknown,,,,,Unable to enter estimated incident cost to date,03/09/2015 8:00:00,,2015-03-09 20:00:00,N,,VACUUM TRUCK EXPLODED AND RELEASED UNK SUBSTANCE WITH REACTION AND VAPOR CLOUD,S,F,,,03/09/2015 19:29:57,Region 1,N,Y,,Sustained moderate north eastern wind predicted to switch to a westerly wind this evening.
7273,,11/20/2014 12:00:00,Chief Vandenbossche,11/18/2014 13:35:09,N,1536120.0,,,tapina01,11/18/2014 12:14:48,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,1536112.0,2015.0,A,11/18/2014 5:45:00,,1526195,1000000.0,,,,,,,,HAZARDOUS CHEMICALS,1089.0,2735930,Ventura County Fire IC Chief Ortega,EXPLOSION W HAZMAT RELEASE,VNC,MISSION,14-0075269,1536186.0,2735922,,SIT209,06/03/2015 16:47:25,,1536273.0,,2.0,,0.0,,,111.0,1526195.0,34.3225,1536095.0,,,SE,SW,21W,20.0,3N,-119.10333329999999,SOUTH OF 126 WEST OF SANTA PAULA CITY,6.0,,,,306398.0,3799921.0,11.0,"Pina, Tim A.",11/18/2014 12:30:00,12 hour prediction potential of 200-300 residences 500+ persons. Adverse impacts to 3 area hospitals with contaminated patients and response personnel. Equipment being positioned to handle increased medical potential. Cal Fire mobilization maintained for ,Large populous evacuation. Contaminated plume identification. Potential for declared local emergency. Continued backtrack of product related to incident. Per the DC,Continued monitoring of injured citizens and responders. Per the DC,Unknown,Unknown,,,,,Unable to enter estimated incident cost to date,11/18/2014 5:45:00,,2014-11-18 20:00:00,N,,VACUUM TRUCK EXPLODED AND RELEASED UNK SUBSTANCE WITH REACTION AND VAPOR CLOUD,S,I,,,11/18/2014 13:35:09,RO1,N,Y,,Sustained moderate north eastern wind predicted to switch to a westerly wind this evening.
7274,,,,,N,1536117.0,1535969.0,,kditmanson,04/28/2015 12:43:50,,,,,,,,,,,935.0,1536109.0,2015.0,D,04/26/2015 20:00:00,,1526425,,,,,,,,,,1090.0,2735947,Jesse Holguin,GrassFire,,Pinon Wells,000128,1536179.0,2735946,1536138.0,kditmanson,04/28/2015 12:43:50,,1536272.0,,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/26/2015 23:00:00,,2015-04-28 13:00:00,N,,,S,F,,,,,N,N,,
7386,,,Paul Hannemann,04/14/2015 8:17:13,N,1536117.0,1535968.0,,swhitleyeoc,04/14/2015 8:11:46,,,,,,none,,,,,317.0,1536109.0,2015.0,A,04/08/2015 12:15:00,,1526141,0.0,,,,,1535983.0,,,,1202.0,2728274,local IC Jusack w/Potter County,,,Frying Pan,001007,1536179.0,2728273,,SIT209,06/03/2015 16:47:25,,,,100.0,,0.0,,,375.0,1527358.0,35.3255556,,,,,,,,,-102.1230556,"5 miles SW of Boden, TX.",48.0,,,,,,,Shawn Whitley,04/14/2015 8:15:00,none,,,,,,,,,,04/10/2015 8:00:00,,2015-04-10 17:00:00,N,,none,S,F,,,04/14/2015 8:17:13,SACC,N,Y,,
7400,,04/13/2015 12:00:00,Ronda Estey,10/14/2015 14:13:03,N,1536120.0,1535969.0,,dnygaard,10/14/2015 14:11:48,None,,,,,None,,,,,350.0,1536109.0,2015.0,A,04/13/2015 19:56:00,,1525910,20000.0,,,,,1535983.0,,1536370.0,,1216.0,2728407,Kent Wolf,,,TANSEM,000014,1536179.0,2728406,1536138.0,SIT209,10/14/2015 14:13:03,,,JMN8,100.0,,100.0,Monitor,Howley,27.0,1527326.0,46.663611100000004,,,,,,,,,-96.2061111,At Barnsvillle MN,27.0,,,,,,,Diane Nygaard,04/18/2015 16:30:00,Monitor,,,,,20000.0,330.0,1536109.0,,,04/14/2015 12:00:00,,2015-04-18 16:00:00,N,,Suppressed,S,F,None,Monitor,10/14/2015 14:13:03,EACC,N,N,,
7677,,05/06/2015 12:00:00,Greg Vollhaber,,N,1536120.0,1535969.0,,biglesen,12/10/2015 8:46:38,Heavy equipment and Engine 6 / tracked vehicles for mop-up.,Tracked vehicles for mop-up.,,,,agricultural land,agricultural land.,,,,250.0,1536109.0,2015.0,D,05/02/2015 15:30:00,,1525834,42000.0,,,,,1535981.0,,1536370.0,Grass and Peat,1493.0,2730456,Mike Ware Minnesota DNR Forestry Bemidji MN,,,Redland Peat Fire,111064,1536179.0,2730455,1536138.0,SIT209,12/10/2015 9:01:09,Private agriculture land threatened. Potential for peat burning will require extensive mop-up  Snags in wooded area.,1536266.0,13B11,90.0,,100.0,Mop-up and monitor.,Gully,119.0,1525834.0,47.893666700000004,1536253.0,,,SW,SE,39,17.0,151,-95.6738333,12 miles N of Gully MN,27.0,,,,,,,Mike Ware,05/04/2015 18:00:00,Continued smoldering in peat.,smoldering in peat.,smoldering in peat.,Smoldering in peat.,,55000.0,567.0,1536109.0,05/04/2015 12:00:00,,05/02/2015 15:30:00,,2015-05-02 18:00:00,N,,Smoldering in peat.,S,F,With assigned resources  objectives should be met in the first operational period.,Full suppression and mop-up of fire area including organic soils (peat).,,EACC,N,N,,Continued warm temps.  Low RH. Is making peat mopup more extensive.
8830,,,CORDELL TAYLOR,,N,1536118.0,,T5,cnelsen,07/27/2014 21:43:58,,,,,,,,,,,0.1,1536109.0,2015.0,D,07/23/2014 16:30:00,,1524883,,,,,,,,,,2646.0,2766107,Lewis Rasband   ASF,"14 miles NE of Tabiona, UT",,MNERS GULCH,000219,1536179.0,2766106,1536139.0,SIT209,07/27/2014 21:54:22,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,CHERYL NELSEN,07/27/2014 22:00:00,,,,,,,3500.0,1536109.0,,Very minimal fire behavior.,07/23/2014 19:45:00,,2014-07-27 21:45:00,N,,,S,I,,,,EBC,N,N,,
8885,,,bschieber,,N,1536119.0,,,bschieber,07/28/2014 14:05:36,None,,,,,,,,,,,,2015.0,D,07/28/2014 9:00:00,,1525648,100.0,,,,,,,,,2701.0,2766429,Schieber  North Ops Intel,,,Test,999998,1536200.0,2766428,,SIT209,07/28/2014 14:07:42,,,,0.0,,2.0,,,87.0,1525648.0,37.050277799999996,,,,,,,,,-122.0725,Felton CALFIRE HQ,6.0,,,,,,,bschieber,07/28/2014 14:00:00,Testing Print Issue,,,,,,,,,,07/28/2014 10:00:00,,2014-07-28 13:00:00,N,,,S,I,,,,CNR,N,N,,
10365,,,,,N,1536117.0,,Type 3,bgeringer,01/07/2015 16:18:53,,,,,,,,,,,9.0,1536109.0,2015.0,D,11/18/2014 5:45:00,,1527283,,,,,,,,,Sodium chlorites  peroxides,4181.0,2809143,Plott/Cooper/Maxwell/Guzman,,Ventura County,Mission,14-0075269,1536186.0,2809142,,SIT209,06/03/2015 16:47:25,,1536273.0,,100.0,,100.0,,Santa Paula,111.0,1527283.0,34.3147222,,,,,,,,,-119.1038889,"2.5 miles SW of the city of Santa Paula, CA",6.0,,,,,,,,,,,,,,,,,,,11/18/2014 12:00:00,,2015-01-07 12:30:00,N,,At approximately 0630 on 11/18/2014  the product from the vehicle explosion had crystallized on the ground. The material was found to be ignitable by friction and evacuation of the hot zone was initiated. At 0730  adjacent plastic totes of stored chemicals began igniting. White and black smoke and vapor cloud initially drifted west and then NW after a wind shift.,S,F,,,,,N,Y,CA-VNC,
