"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"California","Shasta",2022,207,186,21,0,0,0,0,71,51,44,0,0,201,1,5
"California","Solano",2022,273,222,51,0,0,0,0,90,61,40,0,0,212,61,0
"California","Sonoma",2022,244,229,15,0,0,0,0,61,47,32,1,0,175,66,2
"California","Stanislaus",2022,186,103,76,7,0,0,0,111,91,48,1,0,89,93,3
"California","Sutter",2022,181,116,64,1,0,0,0,102,76,46,0,0,107,74,0
"California","Tehama",2022,191,172,19,0,0,0,0,100,50,39,0,0,161,20,10
"California","Trinity",2022,178,138,40,0,0,0,0,96,61,22,0,0,0,178,0
"California","Tulare",2022,212,70,96,44,2,0,0,156,119,67,0,0,142,70,0
"California","Tuolumne",2022,180,177,3,0,0,0,0,71,45,37,0,0,180,0,0
"California","Ventura",2022,243,141,98,4,0,0,0,140,80,48,0,1,211,31,0
"California","Yolo",2022,254,214,40,0,0,0,0,100,54,41,0,0,219,32,3
"Colorado","Adams",2022,281,148,119,14,0,0,0,126,90,50,0,37,192,18,34
"Colorado","Arapahoe",2022,276,155,109,12,0,0,0,129,87,48,0,0,270,6,0
"Colorado","Archuleta",2022,306,254,48,3,0,1,0,227,58,44,0,2,271,0,33
"Colorado","Boulder",2022,275,168,100,7,0,0,0,129,80,48,0,0,235,39,1
"Colorado","Clear Creek",2022,264,164,97,3,0,0,0,108,71,49,0,0,264,0,0
"Colorado","Delta",2022,143,126,17,0,0,0,0,80,54,44,0,0,138,1,4
"Colorado","Denver",2022,281,152,122,7,0,0,0,112,84,49,0,67,172,41,1
"Colorado","Douglas",2022,275,166,91,17,1,0,0,169,90,49,0,0,253,22,0
"Colorado","El Paso",2022,276,171,103,2,0,0,0,115,77,48,1,0,267,6,2
"Colorado","Fremont",2022,74,71,3,0,0,0,0,77,28,12,0,0,0,0,74
"Colorado","Garfield",2022,272,248,24,0,0,0,0,84,50,43,0,0,272,0,0
"Colorado","Gilpin",2022,273,196,73,4,0,0,0,112,74,46,0,0,273,0,0
"Colorado","Gunnison",2022,242,194,47,1,0,0,0,108,64,46,0,0,242,0,0
"Colorado","Jackson",2022,31,24,7,0,0,0,0,71,51,46,0,0,30,1,0
"Colorado","Jefferson",2022,273,143,99,30,1,0,0,166,101,50,0,0,273,0,0
"Colorado","La Plata",2022,306,210,95,1,0,0,0,108,74,47,0,0,298,8,0
"Colorado","Larimer",2022,274,137,129,8,0,0,0,126,87,51,1,0,261,12,0
"Colorado","Mesa",2022,276,219,56,1,0,0,0,108,58,45,0,0,250,21,5
"Colorado","Montezuma",2022,273,218,55,0,0,0,0,87,61,45,0,0,273,0,0
"Colorado","Pitkin",2022,68,66,2,0,0,0,0,58,32,13,0,0,0,0,68
"Colorado","Prowers",2022,221,202,18,0,1,0,0,158,44,17,0,0,0,0,221
"Colorado","Pueblo",2022,235,221,11,3,0,0,0,121,42,19,0,0,0,71,164
"Colorado","Rio Blanco",2022,243,162,79,2,0,0,0,122,67,47,0,1,235,7,0
"Colorado","Routt",2022,220,220,0,0,0,0,0,43,28,16,0,0,0,0,220
"Colorado","San Miguel",2022,76,75,1,0,0,0,0,68,36,15,0,0,0,0,76
"Colorado","Weld",2022,277,125,142,10,0,0,0,133,90,51,1,2,225,49,0
"Connecticut","Fairfield",2022,181,129,48,4,0,0,0,140,62,44,0,7,106,68,0
"Connecticut","Hartford",2022,181,146,34,1,0,0,0,112,60,41,0,11,122,48,0
"Connecticut","Litchfield",2022,182,165,16,1,0,0,0,101,50,40,1,0,168,13,0
"Connecticut","Middlesex",2022,121,108,13,0,0,0,0,100,54,40,0,0,121,0,0
"Connecticut","New Haven",2022,182,134,47,1,0,0,0,105,63,42,1,6,115,59,1
"Connecticut","New London",2022,181,161,20,0,0,0,0,80,51,37,0,0,108,73,0
"Connecticut","Tolland",2022,116,107,9,0,0,0,0,90,49,40,0,0,116,0,0
"Connecticut","Windham",2022,238,222,16,0,0,0,0,93,49,38,0,0,238,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2022,273,68,159,29,17,0,0,167,125,61,0,0,0,273,0
"Country Of Mexico","SONORA",2022,273,161,110,2,0,0,0,115,72,47,0,0,179,25,69
"Delaware","Kent",2022,59,47,12,0,0,0,0,71,55,37,0,0,22,37,0
"Delaware","New Castle",2022,60,41,19,0,0,0,0,75,63,42,1,2,22,35,0
"Delaware","Sussex",2022,59,49,10,0,0,0,0,72,54,37,0,0,33,26,0
"District Of Columbia","District of Columbia",2022,213,153,56,4,0,0,0,128,67,43,1,21,130,61,0
"Florida","Alachua",2022,181,164,17,0,0,0,0,84,50,40,0,0,133,48,0
"Florida","Baker",2022,181,153,28,0,0,0,0,87,54,41,0,0,128,53,0
"Florida","Bay",2022,181,141,40,0,0,0,0,99,58,42,0,0,114,67,0
"Florida","Brevard",2022,181,154,27,0,0,0,0,80,54,42,0,0,135,46,0
"Florida","Broward",2022,182,142,40,0,0,0,0,100,56,44,1,4,97,80,0
"Florida","Citrus",2022,176,160,16,0,0,0,0,68,49,35,0,0,0,176,0
"Florida","Collier",2022,179,169,10,0,0,0,0,79,47,38,0,0,132,47,0
"Florida","Columbia",2022,179,147,32,0,0,0,0,90,58,41,0,0,114,65,0
"Florida","Duval",2022,182,127,55,0,0,0,0,90,61,45,1,2,86,92,1
"Florida","Escambia",2022,181,129,51,1,0,0,0,133,64,45,0,0,108,73,0
"Florida","Flagler",2022,181,173,8,0,0,0,0,100,47,38,0,0,181,0,0
"Florida","Hamilton",2022,123,101,22,0,0,0,0,70,54,40,0,0,0,123,0
"Florida","Highlands",2022,179,167,11,1,0,0,0,112,48,39,0,0,179,0,0
"Florida","Hillsborough",2022,181,119,61,1,0,0,0,126,67,46,0,0,114,66,1
"Florida","Holmes",2022,181,139,42,0,0,0,0,90,56,42,0,0,96,85,0
"Florida","Indian River",2022,239,231,8,0,0,0,0,67,47,34,0,0,239,0,0
"Florida","Lake",2022,181,169,12,0,0,0,0,87,50,40,0,0,181,0,0
"Florida","Lee",2022,181,154,27,0,0,0,0,80,54,41,0,0,132,49,0
"Florida","Leon",2022,180,135,45,0,0,0,0,92,59,42,0,0,82,98,0
"Florida","Liberty",2022,233,224,9,0,0,0,0,74,47,32,0,0,233,0,0
"Florida","Manatee",2022,169,158,11,0,0,0,0,80,49,38,0,0,169,0,0
"Florida","Marion",2022,180,151,29,0,0,0,0,93,55,42,0,0,125,55,0
"Florida","Martin",2022,181,166,14,1,0,0,0,108,49,40,0,0,118,63,0
"Florida","Miami-Dade",2022,182,158,22,2,0,0,0,136,55,41,1,19,97,64,1
"Florida","Okaloosa",2022,170,155,15,0,0,0,0,84,49,39,0,0,166,0,4
"Florida","Orange",2022,181,154,27,0,0,0,0,97,54,41,0,0,163,18,0
"Florida","Osceola",2022,181,169,12,0,0,0,0,80,49,38,0,0,181,0,0
"Florida","Palm Beach",2022,181,153,28,0,0,0,0,89,54,40,0,0,120,61,0
"Florida","Pasco",2022,181,155,26,0,0,0,0,87,51,42,0,0,181,0,0
"Florida","Pinellas",2022,181,140,41,0,0,0,0,87,58,44,0,0,124,56,1
"Florida","Polk",2022,181,152,29,0,0,0,0,87,55,41,0,0,121,60,0
"Florida","Putnam",2022,151,151,0,0,0,0,0,44,29,18,0,0,0,0,151
"Florida","Santa Rosa",2022,181,138,42,1,0,0,0,109,60,43,0,0,124,57,0
"Florida","Sarasota",2022,181,140,41,0,0,0,0,100,58,43,0,0,125,56,0
"Florida","Seminole",2022,181,160,21,0,0,0,0,87,51,40,0,0,143,38,0
"Florida","St. Lucie",2022,175,169,6,0,0,0,0,77,48,37,0,0,175,0,0
"Florida","Volusia",2022,181,148,33,0,0,0,0,93,56,42,0,0,118,63,0
"Florida","Wakulla",2022,182,153,29,0,0,0,0,96,55,41,1,0,117,64,0
"Georgia","Bibb",2022,273,229,44,0,0,0,0,90,55,38,0,0,126,147,0
"Georgia","Chatham",2022,273,229,44,0,0,0,0,97,57,39,0,0,128,145,0
"Georgia","Chattooga",2022,214,205,9,0,0,0,0,77,47,35,0,0,214,0,0
"Georgia","Clarke",2022,243,183,60,0,0,0,0,87,60,44,0,0,131,112,0
"Georgia","Clayton",2022,70,60,10,0,0,0,0,69,54,33,0,0,0,70,0
"Georgia","Cobb",2022,203,181,22,0,0,0,0,93,51,39,0,0,163,40,0
"Georgia","Coffee",2022,71,65,6,0,0,0,0,71,46,28,0,0,0,71,0
"Georgia","Columbia",2022,184,178,6,0,0,0,0,71,47,34,0,0,184,0,0
"Georgia","Dawson",2022,214,207,6,1,0,0,0,136,47,35,0,0,214,0,0
"Georgia","DeKalb",2022,274,198,74,2,0,0,0,147,62,43,1,22,113,138,0
"Georgia","Dougherty",2022,241,166,70,4,1,0,0,151,61,36,0,0,0,241,0
"Georgia","Douglas",2022,212,186,25,1,0,0,0,133,54,38,0,0,212,0,0
"Georgia","Floyd",2022,236,213,23,0,0,0,0,81,50,29,0,0,0,236,0
"Georgia","Fulton",2022,274,192,79,2,1,0,0,169,63,45,1,7,133,133,0
"Georgia","Glynn",2022,273,238,34,1,0,0,0,106,53,37,0,0,126,147,0
"Georgia","Gwinnett",2022,240,188,52,0,0,0,0,97,59,42,0,0,108,132,0
"Georgia","Hall",2022,242,196,46,0,0,0,0,76,55,36,0,0,0,242,0
"Georgia","Henry",2022,229,188,38,3,0,0,0,105,61,38,0,0,142,87,0
"Georgia","Houston",2022,243,198,44,1,0,0,0,102,57,33,0,0,0,243,0
"Georgia","Lowndes",2022,232,178,54,0,0,0,0,100,61,35,0,0,0,232,0
"Georgia","Murray",2022,181,156,24,1,0,0,0,105,54,40,0,0,181,0,0
"Georgia","Muscogee",2022,243,198,43,2,0,0,0,149,56,40,0,0,113,130,0
"Georgia","Pike",2022,218,196,22,0,0,0,0,100,51,36,0,0,218,0,0
"Georgia","Richmond",2022,273,216,57,0,0,0,0,99,58,40,0,0,134,139,0
"Georgia","Rockdale",2022,213,186,27,0,0,0,0,90,54,39,0,0,213,0,0
"Georgia","Sumter",2022,207,194,13,0,0,0,0,93,47,34,0,0,207,0,0
"Georgia","Walker",2022,235,154,81,0,0,0,0,87,62,43,0,0,0,235,0
"Georgia","Washington",2022,241,179,59,3,0,0,0,112,59,40,0,0,0,241,0
"Hawaii","Hawaii",2022,209,207,2,0,0,0,0,58,38,26,0,0,0,209,0
"Hawaii","Honolulu",2022,182,181,0,1,0,0,0,142,36,29,1,1,149,26,5
"Hawaii","Kauai",2022,90,90,0,0,0,0,0,34,19,10,0,17,0,73,0
"Hawaii","Maui",2022,181,179,2,0,0,0,0,72,28,18,0,0,0,181,0
"Idaho","Ada",2022,182,147,35,0,0,0,0,74,58,43,1,9,132,38,2
"Idaho","Bannock",2022,263,196,66,1,0,0,0,106,67,40,0,0,85,74,104
"Idaho","Benewah",2022,181,148,33,0,0,0,0,72,58,30,0,0,0,181,0
"Idaho","Blaine",2022,173,173,0,0,0,0,0,44,29,17,0,0,0,173,0
"Idaho","Boise",2022,181,157,24,0,0,0,0,62,52,23,0,0,0,181,0
"Idaho","Bonner",2022,181,177,4,0,0,0,0,61,35,19,0,0,0,154,27
"Idaho","Bonneville",2022,176,168,8,0,0,0,0,70,40,19,0,0,0,176,0
"Idaho","Butte",2022,212,197,15,0,0,0,0,71,50,43,0,0,212,0,0
"Idaho","Canyon",2022,181,152,29,0,0,0,0,73,58,26,0,0,0,146,35
"Idaho","Franklin",2022,181,159,22,0,0,0,0,79,54,15,0,0,0,181,0
"Idaho","Idaho",2022,302,261,32,3,4,2,0,238,59,36,0,0,180,122,0
"Idaho","Kootenai",2022,181,179,2,0,0,0,0,57,25,10,0,0,0,181,0
"Idaho","Latah",2022,177,177,0,0,0,0,0,25,5,0,0,0,0,177,0
"Idaho","Lemhi",2022,181,131,49,1,0,0,0,112,67,24,0,0,0,181,0
"Idaho","Nez Perce",2022,302,275,21,2,4,0,0,180,47,19,0,0,0,302,0
"Idaho","Shoshone",2022,181,147,33,1,0,0,0,108,58,23,0,0,0,176,5
"Idaho","Twin Falls",2022,169,160,9,0,0,0,0,77,45,18,0,0,0,169,0
"Idaho","Valley",2022,170,137,33,0,0,0,0,98,64,23,0,0,0,170,0
"Illinois","Adams",2022,206,199,7,0,0,0,0,71,48,39,0,0,206,0,0
"Illinois","Champaign",2022,273,224,48,1,0,0,0,126,58,40,0,0,198,75,0
"Illinois","Clark",2022,172,156,15,1,0,0,0,101,49,36,0,0,172,0,0
"Illinois","Cook",2022,274,157,109,7,1,0,0,151,77,48,1,22,123,108,20
"Illinois","DuPage",2022,273,207,65,1,0,0,0,129,62,41,0,0,155,118,0
"Illinois","Effingham",2022,208,185,23,0,0,0,0,100,51,38,0,0,208,0,0
"Illinois","Hamilton",2022,273,224,49,0,0,0,0,87,60,40,0,0,157,116,0
"Illinois","Jersey",2022,273,225,43,5,0,0,0,112,58,41,0,0,180,93,0
"Illinois","Jo Daviess",2022,227,213,14,0,0,0,0,84,48,36,0,0,227,0,0
"Illinois","Kane",2022,231,180,48,3,0,0,0,129,64,40,0,0,179,52,0
"Illinois","Lake",2022,212,170,39,2,1,0,0,159,67,41,0,0,212,0,0
"Illinois","Macon",2022,273,220,51,2,0,0,0,115,58,41,0,0,155,118,0
"Illinois","Macoupin",2022,271,260,9,2,0,0,0,108,46,36,0,61,210,0,0
"Illinois","Madison",2022,273,166,98,9,0,0,0,147,74,47,0,0,148,123,2
"Illinois","McHenry",2022,273,204,66,3,0,0,0,126,63,40,0,0,153,120,0
"Illinois","McLean",2022,273,211,60,2,0,0,0,129,60,42,0,0,161,112,0
"Illinois","Peoria",2022,273,209,64,0,0,0,0,100,61,42,0,0,154,119,0
"Illinois","Randolph",2022,273,223,48,2,0,0,0,108,61,42,0,0,172,101,0
"Illinois","Rock Island",2022,268,214,54,0,0,0,0,80,61,40,0,0,158,110,0
"Illinois","Saint Clair",2022,273,184,88,1,0,0,0,105,67,44,0,7,130,136,0
"Illinois","Sangamon",2022,270,222,44,4,0,0,0,126,57,40,0,0,148,122,0
"Illinois","Will",2022,273,208,63,2,0,0,0,101,61,41,0,0,152,121,0
"Illinois","Winnebago",2022,273,228,45,0,0,0,0,97,58,39,0,0,172,101,0
"Indiana","Allen",2022,263,239,22,2,0,0,0,115,50,37,0,0,263,0,0
"Indiana","Bartholomew",2022,211,174,36,1,0,0,0,105,61,41,0,0,178,33,0
"Indiana","Boone",2022,209,182,26,1,0,0,0,115,58,39,0,0,209,0,0
"Indiana","Brown",2022,236,227,9,0,0,0,0,97,47,37,0,0,236,0,0
"Indiana","Carroll",2022,272,251,21,0,0,0,0,93,49,36,0,0,272,0,0
"Indiana","Clark",2022,271,191,79,1,0,0,0,119,63,44,0,0,145,125,1
"Indiana","Delaware",2022,237,205,31,1,0,0,0,115,56,39,0,0,218,19,0
"Indiana","Dubois",2022,76,67,9,0,0,0,0,86,53,32,0,0,0,72,4
"Indiana","Elkhart",2022,269,234,34,1,0,0,0,105,54,38,0,0,197,72,0
"Indiana","Floyd",2022,201,185,16,0,0,0,0,87,48,36,0,0,201,0,0
"Indiana","Greene",2022,218,186,30,2,0,0,0,101,58,39,0,0,197,21,0
"Indiana","Hamilton",2022,222,174,48,0,0,0,0,100,63,40,0,0,152,70,0
"Indiana","Hendricks",2022,232,218,14,0,0,0,0,87,48,37,0,0,232,0,0
"Indiana","Henry",2022,72,65,7,0,0,0,0,94,50,29,0,0,0,72,0
"Indiana","Howard",2022,243,187,52,4,0,0,0,108,62,40,0,0,167,76,0
"Indiana","Knox",2022,226,204,22,0,0,0,0,87,50,39,0,0,226,0,0
"Indiana","LaPorte",2022,273,236,33,4,0,0,0,143,58,38,0,0,252,21,0
"Indiana","Lake",2022,273,192,76,5,0,0,0,143,65,43,0,7,155,107,4
"Indiana","Madison",2022,243,179,60,4,0,0,0,133,64,44,0,0,170,73,0
"Indiana","Marion",2022,274,165,101,8,0,0,0,119,71,46,1,35,89,148,1
"Indiana","Monroe",2022,232,213,19,0,0,0,0,96,48,28,0,0,0,232,0
"Indiana","Perry",2022,212,193,18,1,0,0,0,119,50,39,0,0,212,0,0
"Indiana","Porter",2022,272,222,46,4,0,0,0,143,59,41,0,0,218,53,1
"Indiana","Posey",2022,212,199,13,0,0,0,0,97,47,34,0,0,212,0,0
"Indiana","Shelby",2022,272,246,24,2,0,0,0,115,50,37,0,0,272,0,0
"Indiana","Spencer",2022,70,63,7,0,0,0,0,77,51,33,0,0,0,70,0
"Indiana","St. Joseph",2022,273,199,69,5,0,0,0,122,67,43,0,1,177,95,0
"Indiana","Tippecanoe",2022,177,161,16,0,0,0,0,95,50,24,0,0,0,177,0
"Indiana","Vanderburgh",2022,273,197,76,0,0,0,0,100,64,44,0,1,165,107,0
"Indiana","Vigo",2022,243,180,61,2,0,0,0,115,59,41,0,0,129,114,0
"Indiana","Wabash",2022,241,217,23,1,0,0,0,112,50,39,0,0,241,0,0
"Indiana","Warrick",2022,273,236,36,1,0,0,0,101,51,39,0,0,273,0,0
"Indiana","Whitley",2022,238,203,34,1,0,0,0,109,55,32,0,0,0,238,0
"Iowa","Black Hawk",2022,303,257,46,0,0,0,0,82,54,33,0,0,0,303,0
"Iowa","Bremer",2022,243,235,8,0,0,0,0,67,47,37,0,0,243,0,0
"Iowa","Cerro Gordo",2022,87,87,0,0,0,0,0,42,29,17,0,0,0,0,87
"Iowa","Clinton",2022,303,206,96,1,0,0,0,107,64,42,0,0,129,174,0
"Iowa","Harrison",2022,237,210,27,0,0,0,0,84,51,40,0,0,237,0,0
"Iowa","Johnson",2022,303,262,41,0,0,0,0,81,54,31,0,0,0,303,0
"Iowa","Lee",2022,75,68,7,0,0,0,0,72,48,29,0,0,0,75,0
"Iowa","Linn",2022,304,231,73,0,0,0,0,79,56,42,0,0,161,143,0
"Iowa","Montgomery",2022,302,277,25,0,0,0,0,74,50,38,0,0,215,87,0
"Iowa","Muscatine",2022,304,269,35,0,0,0,0,87,52,31,0,0,0,303,1
"Iowa","Palo Alto",2022,304,271,33,0,0,0,0,77,51,38,0,0,192,112,0
"Iowa","Polk",2022,304,267,37,0,0,0,0,77,52,39,0,11,201,90,2
"Iowa","Pottawattamie",2022,90,83,7,0,0,0,0,66,49,28,0,0,0,79,11
"Iowa","Scott",2022,305,232,73,0,0,0,0,96,61,41,1,0,158,89,57
"Iowa","Van Buren",2022,304,274,29,1,0,0,0,102,50,39,0,1,187,116,0
"Iowa","Woodbury",2022,87,84,3,0,0,0,0,52,45,28,0,0,0,87,0
"Kansas","Ford",2022,179,161,18,0,0,0,0,87,53,18,0,0,0,0,179
"Kansas","Johnson",2022,181,140,41,0,0,0,0,87,62,40,0,0,102,79,0
"Kansas","Leavenworth",2022,181,174,7,0,0,0,0,77,47,38,0,0,181,0,0
"Kansas","Neosho",2022,181,134,47,0,0,0,0,94,62,43,0,0,94,84,3
"Kansas","Sedgwick",2022,181,124,55,2,0,0,0,119,64,44,0,0,119,58,4
"Kansas","Shawnee",2022,181,138,43,0,0,0,0,87,59,44,0,0,114,67,0
"Kansas","Sherman",2022,180,163,15,1,0,0,1,495,48,15,0,0,0,0,180
"Kansas","Sumner",2022,181,125,55,1,0,0,0,115,61,43,0,1,98,67,15
"Kansas","Trego",2022,175,148,26,1,0,0,0,102,60,38,0,0,140,22,13
"Kansas","Wyandotte",2022,182,128,54,0,0,0,0,93,63,44,1,4,62,115,0
"Kentucky","Bell",2022,181,121,60,0,0,0,0,90,64,44,0,0,84,97,0
"Kentucky","Boone",2022,76,62,14,0,0,0,0,97,64,44,0,0,76,0,0
"Kentucky","Boyd",2022,184,154,30,0,0,0,0,80,54,40,0,5,100,73,6
"Kentucky","Bullitt",2022,119,104,15,0,0,0,0,93,54,43,0,0,119,0,0
"Kentucky","Campbell",2022,192,160,31,1,0,0,0,105,58,39,0,0,106,86,0
"Kentucky","Carter",2022,182,166,16,0,0,0,0,68,48,38,0,0,104,73,5
"Kentucky","Christian",2022,181,145,36,0,0,0,0,83,56,42,0,0,81,100,0
"Kentucky","Daviess",2022,181,147,34,0,0,0,0,98,56,42,0,2,96,83,0
"Kentucky","Edmonson",2022,213,193,20,0,0,0,0,84,50,39,6,0,207,0,0
"Kentucky","Fayette",2022,186,158,28,0,0,0,0,90,58,41,0,7,99,75,5
